State,entrepreneurship
Alabama,36
Arizona,24
Arkansas,39
California,31
Colorado,48
Connecticut,37
Delaware,43
Florida,58
Georgia,100
Idaho,52
Illinois,52
Indiana,45
Iowa,26
Kansas,37
Kentucky,48
Louisiana,45
Maine,53
Maryland,31
Massachusetts,40
Michigan,22
Minnesota,46
Mississippi,55
Missouri,38
Montana,34
Nebraska,42
Nevada,38
New Hampshire,26
New Jersey,45
New Mexico,30
New York,33
North Carolina,44
North Dakota,31
Ohio,73
Oklahoma,56
Oregon,33
Pennsylvania,39
Rhode Island,36
South Carolina,34
South Dakota,38
Tennessee,54
Texas,37
Utah,41
Vermont,36
Virginia,48
Washington,47
West Virginia,37
Wisconsin,53
Wyoming,35
