State,university
Alabama,58
Arizona,40
Arkansas,39
California,29
Colorado,39
Connecticut,59
Delaware,59
Florida,38
Georgia,48
Idaho,38
Illinois,51
Indiana,46
Iowa,56
Kansas,44
Kentucky,50
Louisiana,41
Maine,33
Maryland,60
Massachusetts,51
Michigan,48
Minnesota,49
Mississippi,45
Missouri,46
Montana,47
Nebraska,40
Nevada,22
New Hampshire,31
New Jersey,53
New Mexico,30
New York,39
North Carolina,39
North Dakota,38
Ohio,58
Oklahoma,38
Oregon,43
Pennsylvania,51
Rhode Island,59
South Carolina,46
South Dakota,47
Tennessee,47
Texas,38
Utah,51
Vermont,46
Virginia,49
Washington,41
West Virginia,49
Wisconsin,34
Wyoming,44
