State,facebook
Alabama,75
Arizona,78
Arkansas,56
California,70
Colorado,45
Connecticut,54
Delaware,61
Florida,65
Georgia,36
Idaho,57
Illinois,57
Indiana,45
Iowa,77
Kansas,61
Kentucky,72
Louisiana,92
Maine,69
Maryland,74
Massachusetts,59
Michigan,100
Minnesota,55
Mississippi,56
Missouri,80
Montana,76
Nebraska,71
Nevada,73
New Hampshire,87
New Jersey,79
New Mexico,54
New York,77
North Carolina,51
North Dakota,74
Ohio,45
Oklahoma,64
Oregon,80
Pennsylvania,75
Rhode Island,71
South Carolina,62
South Dakota,72
Tennessee,65
Texas,70
Utah,96
Vermont,71
Virginia,53
Washington,52
West Virginia,82
Wisconsin,60
Wyoming,57
,86
,82
,86
