State,gdpr
Alabama,9
Arizona,18
Arkansas,11
California,32
Colorado,30
Connecticut,22
Delaware,14
Florida,17
Georgia,24
Idaho,16
Illinois,24
Indiana,15
Iowa,12
Kansas,12
Kentucky,11
Louisiana,11
Maine,20
Maryland,27
Massachusetts,38
Michigan,14
Minnesota,20
Mississippi,11
Missouri,17
Montana,11
Nebraska,15
Nevada,15
New Hampshire,25
New Jersey,28
New Mexico,9
New York,47
North Carolina,20
North Dakota,10
Ohio,17
Oklahoma,9
Oregon,24
Pennsylvania,19
Rhode Island,21
South Carolina,12
South Dakota,8
Tennessee,14
Texas,17
Utah,24
Vermont,22
Virginia,34
Washington,36
West Virginia,9
Wisconsin,17
Wyoming,14
