State,loans
Alabama,84
Arizona,71
Arkansas,75
California,58
Colorado,64
Connecticut,58
Delaware,74
Florida,69
Georgia,80
Idaho,69
Illinois,65
Indiana,74
Iowa,69
Kansas,73
Kentucky,70
Louisiana,89
Maine,69
Maryland,62
Massachusetts,56
Michigan,73
Minnesota,63
Mississippi,100
Missouri,75
Montana,67
Nebraska,66
Nevada,75
New Hampshire,63
New Jersey,58
New Mexico,69
New York,71
North Carolina,71
North Dakota,68
Ohio,73
Oklahoma,78
Oregon,64
Pennsylvania,67
Rhode Island,67
South Carolina,81
South Dakota,69
Tennessee,76
Texas,73
Utah,67
Vermont,56
Virginia,71
Washington,62
West Virginia,75
Wisconsin,72
Wyoming,66
