State,twitter,
Alabama,52,
Arizona,57,
Arkansas,47,
California,59,
Colorado,56,
Connecticut,58,
Delaware,61,
Florida,50,
Georgia,54,
Idaho,43,
Illinois,60,
Indiana,50,
Iowa,54,
Kansas,52,
Kentucky,56,
Louisiana,51,
Maine,48,
Maryland,61,
Massachusetts,60,
Michigan,54,
Minnesota,59,
Mississippi,48,
Missouri,49,
Montana,45,
Nebraska,55,
Nevada,59,
New Hampshire,51,
New Jersey,59,
New Mexico,54,
New York,57,
North Carolina,53,
North Dakota,51,
Ohio,52,
Oklahoma,47,
Oregon,54,
Pennsylvania,59,
Rhode Island,,
South Carolina,,
South Dakota,,56
Tennessee,,47
Texas,,47
Utah,,51
Vermont,,52
Virginia,,49
Washington,,50
West Virginia,,57
Wisconsin,,59
Wyoming,,47
,,51
,,38
